,HG00096,HG00097,HG00099,HG00100,HG00101,HG00102,HG00103,HG00104,HG00106,HG00108,HG00109,HG00110,HG00111,HG00112,HG00114,HG00116,HG00117,HG00118,HG00119,HG00120,HG00121,HG00122,HG00123,HG00124,HG00125,HG00126,HG00127,HG00128,HG00129,HG00130,HG00131,HG00133,HG00134,HG00135,HG00136,HG00137,HG00138,HG00139,HG00141,HG00142,HG00143,HG00146,HG00148,HG00149,HG00150,HG00151,HG00152,HG00154,HG00155,HG00156,HG00158,HG00159,HG00160,HG00171,HG00173,HG00174,HG00176,HG00177,HG00178,HG00179,HG00180,HG00182,HG00183,HG00185,HG00186,HG00187,HG00188,HG00189,HG00231,HG00232,HG00233,HG00234,HG00235,HG00236,HG00238,HG00239,HG00240,HG00242,HG00243,HG00244,HG00245,HG00246,HG00247,HG00249,HG00250,HG00251,HG00252,HG00253,HG00255,HG00256,HG00257,HG00258,HG00259,HG00260,HG00261,HG00262,HG00263,HG00264,HG00265,HG00266,HG00267,HG00268,HG00269,HG00271,HG00272,HG00273,HG00274,HG00275,HG00276,HG00277,HG00278,HG00280,HG00281,HG00282,HG00284,HG00285,HG00306,HG00309,HG00310,HG00311,HG00312,HG00313,HG00315,HG00319,HG00320,HG00321,HG00323,HG00324,HG00325,HG00326,HG00327,HG00328,HG00329,HG00330,HG00331,HG00332,HG00334,HG00335,HG00336,HG00337,HG00338,HG00339,HG00341,HG00342,HG00343,HG00344,HG00345,HG00346,HG00349,HG00350,HG00351,HG00353,HG00355,HG00356,HG00358,HG00359,HG00360,HG00361,HG00362,HG00364,HG00366,HG00367,HG00369,HG00372,HG00373,HG00375,HG00376,HG00377,HG00378,HG00381,HG00382,HG00383,HG00384,HG01334,NA06984,NA06986,NA06989,NA06994,NA07037,NA07048,NA07051,NA07056,NA07347,NA07357,NA10847,NA10851,NA11829,NA11830,NA11831,NA11843,NA11892,NA11893,NA11894,NA11920,NA11930,NA11931,NA11992,NA11993,NA11994,NA11995,NA12004,NA12006,NA12043,NA12044,NA12045,NA12058,NA12144,NA12154,NA12155,NA12249,NA12272,NA12273,NA12275,NA12282,NA12283,NA12286,NA12287,NA12340,NA12341,NA12342,NA12347,NA12348,NA12383,NA12399,NA12400,NA12413,NA12489,NA12546,NA12716,NA12717,NA12718,NA12749,NA12750,NA12751,NA12761,NA12763,NA12775,NA12777,NA12778,NA12812,NA12814,NA12815,NA12827,NA12829,NA12830,NA12842,NA12843,NA12872,NA12873,NA12874,NA12889,NA12890,NA18486,NA18487,NA18489,NA18498,NA18499,NA18502,NA18505,NA18508,NA18510,NA18511,NA18517,NA18519,NA18520,NA18858,NA18861,NA18867,NA18868,NA18870,NA18873,NA18907,NA18908,NA18909,NA18910,NA18912,NA18916,NA18917,NA18923,NA18933,NA18934,NA19093,NA19095,NA19096,NA19098,NA19099,NA19102,NA19107,NA19108,NA19113,NA19114,NA19116,NA19117,NA19118,NA19119,NA19121,NA19129,NA19130,NA19131,NA19137,NA19138,NA19146,NA19147,NA19149,NA19150,NA19152,NA19160,NA19171,NA19172,NA19175,NA19185,NA19189,NA19190,NA19197,NA19198,NA19200,NA19204,NA19207,NA19209,NA19213,NA19222,NA19223,NA19225,NA19235,NA19236,NA19247,NA19248,NA19256,NA19257,NA20502,NA20503,NA20504,NA20505,NA20506,NA20507,NA20508,NA20509,NA20510,NA20512,NA20513,NA20515,NA20516,NA20517,NA20518,NA20519,NA20520,NA20521,NA20524,NA20525,NA20527,NA20528,NA20529,NA20530,NA20531,NA20532,NA20534,NA20535,NA20536,NA20537,NA20538,NA20539,NA20540,NA20541,NA20542,NA20543,NA20544,NA20581,NA20582,NA20585,NA20586,NA20588,NA20589,NA20752,NA20754,NA20756,NA20757,NA20758,NA20759,NA20760,NA20761,NA20765,NA20766,NA20768,NA20769,NA20770,NA20771,NA20772,NA20773,NA20774,NA20778,NA20783,NA20785,NA20786,NA20787,NA20790,NA20792,NA20795,NA20796,NA20797,NA20798,NA20799,NA20800,NA20801,NA20802,NA20803,NA20804,NA20805,NA20806,NA20807,NA20808,NA20809,NA20810,NA20811,NA20812,NA20813,NA20814,NA20815,NA20816,NA20819,NA20826,NA20828
a1bg,0.740234375,,0.8291015625,,,,,,,,,,,,,,,,,,,,,,,,0.53759765625,,,,,,,0.106689453125,,,,,,,,,,,0.5966796875,0.4931640625,,,,,0.70263671875,0.8408203125,,0.85205078125,,0.48291015625,,,0.66162109375,,,0.328125,,,,,,,,,,,0.490234375,,,,,0.23486328125,,0.62255859375,0.693359375,,,0.873046875,,,,,,,,,,,,,0.765625,,,,,,,,,,,0.658203125,,,,,,,,0.56591796875,,,,,,,,,0.94580078125,,,,,,,0.6435546875,,0.8134765625,,,,,,,0.4736328125,,,,,,,0.560546875,,,0.472900390625,,,,0.67822265625,,,,,,,,,,,,1.0166015625,,,,,,,,0.50634765625,,,,,,,,,0.2139892578125,0.85791015625,0.7626953125,,,,,,,-0.036590576171875,,,,,,0.8046875,,,,1.0,1.12109375,,,,,,,,,,,,,,0.62451171875,,,,,,,,,,,0.41650390625,0.33203125,,,0.86181640625,,,,,,,,,,,,,,,0.85693359375,,,,,,,,0.68017578125,0.34326171875,,0.7177734375,,0.80126953125,0.56103515625,0.533203125,0.41943359375,,0.257568359375,,,,,,1.404296875,,,,,,,,,,,,,,0.427978515625,,,,,,,0.02392578125,0.54931640625,,0.459716796875,,,,0.5556640625,,,0.2861328125,,,,,,0.57958984375,,,,,,,,,,,,,,,0.52294921875,,,,,0.91455078125,,0.6171875,0.75146484375,,,,,,0.51806640625,,,,,,,,,,0.83837890625,,,,0.2255859375,,,,,,,,0.88232421875,,,,,,,,,,,,,,,,,,,0.359375,,,,0.44140625,,,,,0.6533203125,,,,,0.30224609375,,0.5205078125,,,0.7939453125,0.9189453125,,,,,0.76904296875,,,,,,0.275634765625,,0.0833740234375,,,,,0.58740234375,,,0.341796875,
a4galt,,,2.421875,,,,,1.6435546875,,,2.923828125,,,,,,,,,,,2.2734375,,3.19140625,2.890625,2.5546875,,1.7177734375,,,,,,,,,2.171875,,2.130859375,,,,,,,,,,,,,2.015625,,,,,,,,,,2.390625,,,,,0.9814453125,,,,,,,,,,,,,1.98828125,,,,2.0234375,,,,2.232421875,2.357421875,,,1.615234375,,,,,2.505859375,,2.80859375,,,,,,,,2.37890625,,,,,,,2.66796875,,,2.7890625,,,,2.32421875,,2.578125,,,,,2.6796875,3.099609375,,,,,,,1.919921875,,,,2.33984375,,,,,,,,,,,,,,,2.994140625,,,,,,,,,,,,,,,,,,,,,,,,,2.02734375,,,,,,,2.47265625,,,,,,,,,,,,,,,1.640625,,1.1865234375,,,2.6796875,,,,,,,,,,,,,,,2.810546875,,,1.8779296875,,,,,,,2.421875,,,,,,,2.3359375,,,3.265625,2.93359375,,2.033203125,2.455078125,,,2.1015625,2.4453125,,,,,,,,,,2.109375,,,,,2.3203125,,,,3.3515625,,,,,1.7470703125,,,,1.78125,,,1.56640625,,2.52734375,2.400390625,,,,,,,1.82421875,,2.259765625,,,,,,2.44140625,,,,,,,,2.611328125,2.87890625,0.666015625,,,,2.384765625,,,,,2.13671875,,,2.326171875,2.01171875,,,3.087890625,,,,,,,,2.1640625,,,,,,,,,,,,2.169921875,,,,,1.73828125,,,,,,,,,,2.509765625,,,,,,,,,,2.1953125,,,,,,2.2109375,,,,3.05078125,,,,2.07421875,,,,,,,3.044921875,,,,,,,,,,,,,,,,,,2.9609375,,,,,,,,2.1953125,2.052734375,,2.431640625,
aanat,,,,,,,,,,,,,,,,,,,,-2.046875,-2.447265625,,,-4.7265625,,,,,,,-2.6484375,,-2.80078125,,,,,-1.5517578125,,,,-2.63671875,,,,,,,,,-1.8056640625,,,,,,,,,,-2.19140625,,,-1.654296875,,,,,,-2.349609375,-2.45703125,,,,,,,-3.126953125,,-3.025390625,-1.8935546875,-4.140625,,-1.2734375,-2.27734375,,-1.9755859375,,,,-1.431640625,,,,,,,,,,-1.154296875,,,,,,,,,-0.78759765625,,-2.904296875,,,,,-2.92578125,,,,,,,-2.6953125,-2.02734375,,,-2.197265625,,-2.275390625,-2.38671875,,,,,,,,,,-1.365234375,,,,-2.875,,,,,,,,,,,,,,,,,,,,,-1.8388671875,,,,,,,,-1.9453125,,,,,,,,-2.1171875,,,,-2.9765625,,,,,-2.423828125,,,,-4.19921875,,-2.85546875,,,,-1.0224609375,,,,,,,,,,,,-2.802734375,,,,,,,,-2.083984375,,-3.0625,,,,-3.9765625,-2.513671875,,,,,,,,,,,-2.232421875,,,,-4.65234375,,,,,-2.939453125,,,,,-1.94140625,,,,,,,,,-2.705078125,,,,,,,,-1.849609375,,,-2.3515625,,,,-2.470703125,,,,-2.779296875,-1.99609375,,,,-1.5390625,,-1.4814453125,,,,-2.455078125,,,,,,,,,,,-3.197265625,,,,-1.8486328125,-2.51171875,,-2.65625,,,,,,-2.744140625,,,,,,,,,,,,,,,-1.7421875,,,,,,-1.9638671875,,-2.23046875,,,-2.56640625,,,,,,,,,,,,-2.619140625,-1.234375,,-1.33203125,,,,,,,,,,,,,,,,,,,-2.25,-2.232421875,-4.53515625,,,-1.3134765625,,,,,,-2.578125,,,,,,,,,,,,-1.8359375,,,,,,,,-2.14453125,,-2.44140625,,,,,,,,,,,,
aasdh,,,,,,,,,,,,,,,,,,,,,,,,,1.837890625,,,,,1.8037109375,,,1.525390625,,1.7177734375,,,,,,,,,,,,,1.701171875,1.6201171875,,,,,,,,,,1.42578125,,,,,,,1.509765625,,,1.7451171875,,1.58984375,,,,,,,,,,,,1.5986328125,,,1.673828125,,,,,,,,,,1.6240234375,,,,1.7333984375,1.5478515625,,,1.7939453125,1.603515625,,,,,,,,,,,,1.640625,1.8349609375,,,,,,1.5927734375,1.6376953125,,,,,1.8525390625,,,,,,,,,,1.9609375,,,,,,,1.615234375,,1.51953125,,2.107421875,,1.46484375,,,,,,,1.5732421875,,,,,,,,2.125,,,,,,,,,,,,,1.5947265625,,1.7919921875,,2.125,,,,,1.7607421875,,,,,,,,,,,,1.4228515625,,,,,,,,1.6572265625,,,,,,1.408203125,,1.7724609375,1.69921875,,,,,,,,,,2.046875,,1.7373046875,,,,,1.45703125,1.572265625,,,,,,,,,,1.623046875,,,,,,,1.828125,,,,1.6025390625,,,1.59765625,,,,,,,,,,,,,,2.0703125,,1.5224609375,,,,,1.5927734375,,,,,,1.64453125,,,,,,,1.6708984375,,,1.451171875,1.6904296875,,1.6982421875,,,,,,2.36328125,,,,,,,,1.53515625,,,,,,,,,,,,1.6796875,,,1.6806640625,,,,,,,1.28125,,,,,,,,,,1.6806640625,1.552734375,,,,1.8056640625,,1.4853515625,,,,1.591796875,1.537109375,,,,,,,1.7109375,,,1.2880859375,,,,,,,,,,,1.91796875,,,,1.5810546875,,1.8544921875,1.9619140625,,,,,,,,1.7568359375,,,,1.6123046875,1.7138671875,,,,,,,,,,,,1.7880859375,,,,,1.6103515625,,,1.5869140625,
abcb6,,2.978515625,2.1796875,2.439453125,,,,2.541015625,,,,,,,,,,2.728515625,,,,,,,,,,,,,,,,,,,,,,,,,,2.22265625,,2.55859375,,,3.056640625,,,,,,,,,,2.802734375,,,2.60546875,,,,2.748046875,,,,,,,,,,,2.568359375,2.60546875,,2.73828125,2.69921875,2.8046875,,,,,,,,,,,2.435546875,,,,2.296875,,,,,,,,,,,,,3.673828125,,,,2.74609375,,,2.767578125,,,2.494140625,,,2.63671875,,,,2.353515625,,2.5625,,,,,,,,,2.544921875,,,,2.697265625,,,,,2.9921875,,,,,2.259765625,,,2.978515625,3.9375,,2.716796875,,2.671875,,,,3.447265625,,4.12109375,,,3.736328125,,2.5546875,,,,,,,,,,2.66015625,,,,2.6015625,,,,,,,,,,,,3.7578125,,,,,2.55078125,,,,,,2.8671875,,,,,2.75,,,,,,,,,,3.712890625,,,3.044921875,,,,,,,,2.37109375,,,,,,,2.744140625,,,,,,2.095703125,,,,,,2.017578125,,3.037109375,,,2.216796875,2.71484375,,3.16015625,,,3.541015625,,,,,,,,,,2.923828125,,,,,,,,,,2.75,,,,,,,4.0625,,,,2.75390625,,,,,,,,,,2.908203125,,,,,,,,,,,2.73828125,,,,,,,,,,,2.6875,,,,,3.150390625,,2.271484375,,,,,,,,,,,,,,,2.40234375,,,,,,,,,,,,,,,,,,,,,,3.044921875,2.83203125,,2.673828125,,,,2.2734375,3.265625,,,2.765625,,2.552734375,,2.765625,,,,,,,,,2.865234375,2.919921875,3.607421875,,2.146484375,,,3.013671875,,,,,,,,,,,,,,,,,,,
abcd2,,,,,,,,,0.26611328125,,,,,,,,,,,,,,,,,,,0.267333984375,,0.56689453125,,,,,,,,,0.26708984375,,,,,,,0.544921875,,0.305419921875,,,,,,,,0.138427734375,,,,,,,,,,,,,,,,,,,,,,,,0.2247314453125,0.437744140625,0.333984375,,,,0.01824951171875,,,,,,,,0.437744140625,,,,,,,,,,,0.372802734375,,,,,,,,,,,,,0.456787109375,,,0.2125244140625,,,,,,,,,,,,0.7568359375,,0.279296875,,0.3916015625,0.366943359375,,,0.391357421875,,,,,0.2568359375,,0.51318359375,,,0.4345703125,,,,,,,0.5771484375,0.54931640625,,,,0.568359375,,,,,,,,,,,0.55224609375,,0.953125,0.58544921875,,0.349365234375,,,,,,,,0.207763671875,,,,,,,0.5791015625,0.161865234375,,,,0.467041015625,,,,,,,,-0.255126953125,,,,,,0.4443359375,,,,,,,,,,,0.6171875,,,0.353515625,,,,,,,0.400146484375,,0.296875,,,,,,,,,,,,,,0.76904296875,,,,,,,,,,,,0.3125,,,,0.05780029296875,,,,0.481201171875,-0.068115234375,0.357666015625,,0.0540771484375,,,0.6083984375,,,,,0.396484375,-0.07623291015625,-0.2318115234375,,,,,,,0.440673828125,,,,,,,,,,,,,,,,,,,0.367431640625,,,,,,,,,,,,,,,,0.43017578125,0.425048828125,,,,,,,,0.443603515625,,,,0.41650390625,-0.046142578125,,,,,,0.253173828125,,0.49609375,,,0.05523681640625,0.388916015625,,,,,,,,0.292236328125,0.404541015625,0.765625,-0.60693359375,,,,,,,,,,,,,,,,,,0.232666015625,0.132568359375,,,,,,,,,,,,0.3037109375,0.350341796875,,,,0.040313720703125,,-0.09844970703125,,,,,,,0.218505859375,,,,,,,0.70458984375,0.288330078125,,0.271728515625,0.485107421875,,
abhd10,2.7265625,,2.798828125,,,,,2.76171875,,,2.841796875,2.833984375,,,,,,2.75,,,,,2.625,,,,,,,,2.73046875,,,,,,,,,,,,,,,2.634765625,,2.845703125,,,,,2.58984375,,,2.73828125,,2.9296875,,,,,,,,2.484375,2.671875,,2.7734375,,,2.6484375,2.669921875,,,,,,,,,3.2890625,,,2.62109375,,,,,2.583984375,,,,,,,,2.71875,2.859375,,,,,,,,,,,,,,,,2.5859375,,,,,2.6328125,,,,,2.728515625,,2.591796875,,,,,2.712890625,,,,,,,,3.21875,,,2.7109375,,,,,2.58203125,2.7421875,,,,2.75,,,,,,,,,2.84375,,,,,,,,,,2.607421875,2.828125,2.8125,,,,2.646484375,,,,,,,,2.58203125,,,3.248046875,,,,,,,,,,,,,,,3.0390625,,,,2.77734375,2.705078125,,,,,,,,2.83984375,,,,,,,,,2.724609375,,2.744140625,,,,2.833984375,,,,,,,3.3828125,3.017578125,,,,,,2.607421875,,,,,,,3.046875,,,,,,,,2.595703125,2.63671875,2.798828125,,,,,,,,2.5625,,,,,,,,,2.57421875,2.830078125,,,,,,,,2.826171875,,,,,,,2.64453125,,,,,,,,,,,2.697265625,,,,,,,,,,,2.6171875,,,,2.595703125,,3.21484375,,,,,,,,,2.83984375,,,,2.583984375,,,,,,2.630859375,,,,,,,,,,2.490234375,,,,,2.708984375,,2.662109375,,,,2.908203125,,2.66015625,,2.619140625,,,,,,,,,,,,2.8359375,,2.861328125,,,,,,,,,,2.671875,,,,,,,,,,,,2.689453125,,,,,,,2.666015625,,,,,,,,,,
abhd12,,,,,,3.0546875,,3.0625,2.88671875,,2.91015625,,,,,,2.94140625,2.783203125,,,,,,,,,,,2.77734375,,,,,,2.865234375,,,,,,,,2.716796875,,2.947265625,,,,,2.818359375,,,,,,2.853515625,2.765625,2.958984375,,,,,,,,,,,,,2.962890625,,,,,,,,2.923828125,,,,2.923828125,,,,,,,,,,,,,2.771484375,3.04296875,,2.9609375,,,,,2.798828125,,,2.873046875,,,,,,2.943359375,,,,,,2.923828125,,,,,2.755859375,,2.90234375,2.791015625,,2.95703125,,3.03515625,,,2.716796875,3.17578125,,,,,2.853515625,,,,,,,,2.904296875,,,,,,,,,3.01953125,,,,,2.837890625,,,,,,,,3.15625,3.0859375,,2.880859375,,,2.88671875,,,2.828125,,,,,,,,,,,,,,2.98046875,,,,,2.8125,,,,,,2.783203125,,3.0078125,2.90625,,2.79296875,,,3.01171875,,,2.802734375,,,3.052734375,,,,,,,,,,,,,,,2.765625,,,,,,,,,,3.072265625,,,,2.779296875,,,,,,,,,,,,,,,,2.7109375,,,,,,,,,,,,2.90234375,,,2.9453125,2.845703125,,,2.8515625,,,,,,,2.849609375,,,,,,,,,,,,3.2421875,2.8359375,,,,,,,,,,,2.943359375,,,2.896484375,,,,3.197265625,,,,,,,,,,,,,,,2.88671875,,,,,,,,,,,,,3.009765625,,,,,,,,,,,,,,,,,,3.25,,,2.892578125,,,,,,,,,2.787109375,,,2.85546875,,,,,,,2.904296875,,,,,,,,,2.83984375,,2.611328125,,,3.00390625,3.30859375,2.90234375,3.171875,,2.9375,,,,,,,,,,,,,,
abhd15,0.8251953125,,,,,1.0888671875,0.962890625,1.0595703125,,,,,,0.939453125,1.4931640625,,,,,,1.4072265625,,,,,,1.068359375,1.111328125,,,,,,,,,,,,,,,,,0.63916015625,,,,,,,,,,0.98193359375,,,,,,,,,,,,,,1.0341796875,,,,,,,1.1669921875,,,,,,,,,1.0419921875,,,,1.0244140625,,1.001953125,,,0.98486328125,1.294921875,,1.0595703125,,,,,,,,,,1.2021484375,1.0205078125,,,0.87890625,,,,,,,,,,1.01171875,1.1552734375,0.9853515625,,,,,,,1.109375,,,,,0.904296875,0.98583984375,0.94873046875,1.0498046875,,,,0.95361328125,,,1.0791015625,,,1.28125,,1.15234375,,,1.24609375,,,,,,,1.0888671875,1.19140625,1.087890625,,,,,,,,,,1.0986328125,,,,,0.92236328125,,,1.1455078125,,,,,,,,0.88671875,,,,,0.226806640625,1.3486328125,,,,,,,0.794921875,,,,0.8681640625,,,,,,,,,,,,,,0.8134765625,,,,,,,,,,,,,,,,,,,,1.1689453125,0.93115234375,,,,,,,1.134765625,,,,0.7568359375,,,,,,,,,,,,,,,,1.1845703125,,,,,,,,,,,,1.0478515625,1.1044921875,,,0.53662109375,0.66064453125,,,,,,0.9638671875,,,,,,,,,,,,1.1640625,1.12109375,,,,,,,,,,,,,0.81103515625,,,,,,0.89111328125,,,,,,,,,,1.2626953125,1.37109375,,,,,1.2041015625,,,0.9521484375,,,,,,,,,,,,,,,,1.0966796875,1.302734375,,1.2060546875,,,,,,,1.5712890625,1.2080078125,,,,1.19140625,,1.0283203125,,,,,1.177734375,,,,,,,,,,1.0830078125,,,,,,,,,,,,,,,,,0.95947265625,,,,,,,,,1.197265625,1.2451171875,,,,,
abhd16b,0.2203369140625,,,,,-0.505859375,,,0.051422119140625,0.473388671875,,,0.30322265625,,,,,,,,,,,,,,,,0.50927734375,,,,,,,,,0.271240234375,,0.12158203125,0.27978515625,,,0.180419921875,,,,,,,,,,,,,0.34326171875,0.451904296875,,,,,0.046356201171875,-0.1312255859375,,,,,,,,0.568359375,,-0.1448974609375,,,,,,,0.251953125,,,,,,,,0.067626953125,,,,,0.01198577880859375,0.58447265625,,0.60546875,,,0.16064453125,,,,,,,,,,,,,0.3369140625,0.34619140625,,,,,,,,0.1265869140625,0.233642578125,,0.035614013671875,,,,,,,,,,,,,,,0.06866455078125,,,0.2083740234375,,,,,,,,,0.1561279296875,,-0.38134765625,,,,,0.7958984375,,0.08367919921875,,,-0.01220703125,,,,,,,0.30126953125,0.2374267578125,,,-0.130126953125,0.254638671875,,,,,-0.485595703125,,,-0.13330078125,,,,,,,,,,,,-0.59765625,,,,,,,,,,,,,,,1.00390625,,,,,,,,,0.1378173828125,,,,,,,,,0.474365234375,,,,,,,0.58642578125,,,,,,,,,,,,,,,,,,,,0.29833984375,,,,0.0872802734375,,0.21533203125,,,,,,,,,,1.6611328125,,,,0.400390625,,0.17724609375,,,0.406982421875,,0.1263427734375,,-0.0259246826171875,,,,,,,,,,,,,,,,,,,,,0.356201171875,,,,,,,,,-0.202392578125,,,,,,0.4169921875,,,,0.17431640625,0.8564453125,0.0517578125,,0.495361328125,,,-0.35888671875,,-0.04547119140625,,,,,0.3544921875,,,,0.15478515625,,,,,,,,,,,,-0.6650390625,,0.1805419921875,,,,,,,,,0.261962890625,,,,0.64892578125,,,,,,,,,,,,,,,,-0.04962158203125,,,,,-0.03607177734375,,,,,,,,,,,,0.307861328125,,,,,,0.2054443359375,,,,,-0.305419921875,0.06610107421875,0.51123046875,,,,,0.373291015625
